"","V1","V2","V3","V4"
"1",1,0.293424441013485,-0.388657709117979,-1
"2",1,0.28594070347026,-0.841170462779701,1
"3",1,-0.970702540129423,-0.5669467728585,-1
"4",1,-0.78896932117641,-0.675300952512771,1
"5",1,0.448510586284101,0.334190479014069,1
"6",1,0.282529234420508,0.898753134533763,1
"7",1,0.98092700028792,0.528336716815829,1
"8",1,-0.100328556261957,0.825620993506163,-1
"9",1,-0.121151707135141,0.976502487901598,1
"10",1,0.414461221545935,-0.202365052420646,-1
"11",1,0.919577866327018,0.290309374686331,-1
"12",1,-0.713381175417453,0.341433528345078,-1
"13",1,0.84196590539068,0.82833524979651,-1
"14",1,0.0932091833092272,0.203297363128513,1
"15",1,-0.552922547794878,-0.966326975263655,1
"16",1,-0.13235523365438,-0.29210526496172,-1
"17",1,0.742675514426082,0.690518338233232,-1
"18",1,0.633414148818702,-0.838625888340175,-1
"19",1,0.0647935597226024,0.544710701331496,1
"20",1,-0.27318044193089,-0.947758216410875,1
"21",1,0.726946941576898,-0.0553945424035192,1
"22",1,-0.985076630488038,0.423527399543673,1
"23",1,0.0773177789524198,-0.0934181134216487,1
"24",1,0.67267182096839,0.103533716406673,1
"25",1,-0.640525191091001,0.464581108186394,-1
"26",1,-0.251086215954274,-0.744890568312258,-1
"27",1,0.132916652597487,0.135345020797104,1
"28",1,0.257217045407742,0.224260739050806,1
"29",1,-0.935467306058854,-0.744497953914106,1
"30",1,0.322499527595937,0.128803637810051,1
