"","V1","V2","V3","V4"
"1",1,-0.852554234676063,-0.231371397152543,1
"2",1,-0.842181161511689,-0.0641566938720644,1
"3",1,-0.0943082612939179,0.228883587755263,-1
"4",1,-0.609423538669944,-0.811028989031911,1
"5",1,-0.373399498872459,-0.447616687044501,1
"6",1,-0.789699046872556,-0.699667346663773,1
"7",1,0.994286847300828,-0.225364720448852,1
"8",1,-0.19447745801881,-0.492710322607309,1
"9",1,0.896447878796607,0.971703068353236,1
"10",1,-0.940692926291376,0.682660661172122,1
"11",1,-0.0401646662503481,0.470623592846096,-1
"12",1,-0.572914645541459,-0.805482488125563,-1
"13",1,-0.349814089946449,-0.669485433958471,1
"14",1,0.864848805125803,-0.429867611266673,-1
"15",1,0.353627745993435,0.693807188421488,1
"16",1,0.29351516161114,-0.747826421167701,1
"17",1,0.408224888611585,0.0451011834666133,-1
"18",1,-0.61460192874074,-0.899044438730925,1
"19",1,0.322562665678561,-0.640233436599374,1
"20",1,0.994540642946959,-0.905464773532003,1
