subject_id,group_index
0,1
1,2
2,1
3,3
4,2
5,1
6,1
7,2
8,3
9,2
10,1
11,3
12,3
13,2
14,1
15,1
16,1
17,3
18,1
19,2
20,3
21,2
22,2
23,1
24,1
25,2
26,2
27,3
28,2
29,2
30,1
31,1
32,2
33,1
34,3
35,3
36,1
37,1
38,2
39,3
40,1
41,3
42,3
43,3
44,1
45,1
46,2
47,1
48,2
49,1
50,3
51,2
52,2
53,1
54,2
55,1
56,3
57,1
58,2
59,3
60,2
61,2
62,1
63,2
64,3
65,2
66,2
67,2
68,1
69,3
70,2
71,3
72,1
73,3
74,1
75,1
76,1
77,2
78,3
79,3
80,3
81,3
82,2
83,2
84,2
85,2
86,3
87,2
88,3
89,3
90,2
91,1
92,2
93,1
94,2
95,3
96,2
97,2
98,2
99,3
100,1
101,3
102,3
103,1
104,2
105,2
106,2
107,1
108,3
109,3
110,2
111,1
112,3
113,1
114,2
115,1
116,1
117,1
118,2
119,1
120,2
121,2
122,1
123,3
124,1
125,3
126,2
127,2
128,1
129,2
130,3
131,3
132,1
133,2
134,1
135,3
136,1
137,2
138,3
139,3
140,1
141,1
142,3
143,3
144,1
145,2
146,3
147,3
148,2
149,3
150,2
151,3
152,3
153,1
154,1
155,3
156,3
157,2
158,3
159,3
160,2
161,3
162,3
163,2
164,2
165,3
166,3
167,3
168,2
169,3
170,1
171,1
172,2
173,1
174,2
175,3
176,1
177,2
178,1
179,2
180,3
181,3
182,3
183,1
184,2
185,3
186,1
187,2
188,3
189,3
190,3
191,3
192,3
193,1
194,1
195,3
196,1
197,1
198,2
199,3
200,1
201,1
202,1
203,3
204,1
205,1
206,1
207,3
208,1
209,2
210,1
211,1
212,2
213,2
214,3
215,2
216,1
217,1
218,2
219,1
220,2
221,3
222,2
223,3
224,2
225,2
226,1
227,3
228,3
229,1
230,1
231,2
232,2
233,3
234,3
235,2
236,3
237,1
238,1
239,2
