subject_id,group_index
0,2
1,3
2,2
3,1
4,3
5,1
6,1
7,1
8,2
9,3
10,1
11,1
12,2
13,1
14,3
15,3
16,1
17,1
18,2
19,2
20,3
21,3
22,2
23,1
24,1
25,3
26,2
27,3
28,3
29,3
30,2
31,3
32,1
33,2
34,2
35,1
36,1
37,2
38,2
39,2
40,1
41,1
42,2
43,2
44,1
45,1
46,3
47,1
48,2
49,2
50,3
51,2
52,1
53,1
54,3
55,3
56,2
57,1
58,1
59,1
60,2
61,3
62,1
63,1
64,1
65,2
66,1
67,2
68,3
69,3
70,1
71,3
72,2
73,3
74,1
75,3
76,2
77,2
78,1
79,2
80,3
81,3
82,1
83,3
84,2
85,3
86,2
87,1
88,1
89,3
90,1
91,1
92,1
93,1
94,3
95,1
96,3
97,1
98,3
99,1
100,1
101,2
102,1
103,3
104,3
105,3
106,1
107,3
108,1
109,2
110,2
111,2
112,2
113,2
114,1
115,3
116,1
117,2
118,3
119,1
120,3
121,3
122,3
123,2
124,2
125,2
126,3
127,3
128,3
129,2
130,2
131,1
132,2
133,3
134,3
135,1
136,1
137,2
138,3
139,3
140,3
141,2
142,3
143,2
144,2
145,2
146,1
147,2
148,2
149,1
150,2
151,1
152,2
153,2
154,3
155,2
156,3
157,3
158,2
159,2
160,2
161,3
162,2
163,2
164,1
165,1
166,2
167,1
168,2
169,3
170,2
171,3
172,1
173,1
174,2
175,1
176,2
177,1
178,2
179,3
180,1
181,3
182,1
183,3
184,1
185,3
186,3
187,2
188,2
189,3
190,2
191,3
192,3
193,3
194,3
195,1
196,3
197,2
198,1
199,2
200,2
201,3
202,1
203,3
204,1
205,1
206,1
207,3
208,3
209,2
210,2
211,3
212,2
213,1
214,2
215,3
216,2
217,1
218,3
219,2
220,2
221,1
222,3
223,3
224,2
225,2
226,2
227,3
228,3
229,1
230,3
231,1
232,1
233,1
234,3
235,1
236,1
237,3
238,3
239,1
