subject_id,group_index
0,3
1,2
2,1
3,1
4,1
5,3
6,2
7,3
8,1
9,3
10,3
11,3
12,1
13,2
14,3
15,1
16,3
17,3
18,1
19,1
20,3
21,1
22,3
23,3
24,1
25,1
26,3
27,2
28,3
29,2
30,2
31,2
32,2
33,2
34,1
35,1
36,3
37,3
38,2
39,3
40,1
41,2
42,1
43,2
44,3
45,2
46,3
47,2
48,3
49,1
50,2
51,2
52,3
53,2
54,3
55,1
56,1
57,3
58,2
59,3
60,2
61,2
62,3
63,3
64,2
65,2
66,2
67,3
68,1
69,1
70,2
71,3
72,3
73,3
74,1
75,2
76,1
77,1
78,2
79,1
80,2
81,1
82,2
83,3
84,1
85,3
86,3
87,1
88,1
89,3
90,1
91,2
92,2
93,1
94,1
95,1
96,3
97,1
98,2
99,2
100,1
101,1
102,3
103,3
104,3
105,1
106,2
107,2
108,3
109,1
110,3
111,2
112,3
113,2
114,1
115,2
116,3
117,2
118,1
119,1
120,1
121,3
122,3
123,1
124,3
125,3
126,1
127,3
128,3
129,1
130,1
131,3
132,1
133,2
134,1
135,2
136,1
137,3
138,2
139,3
140,2
141,2
142,2
143,2
144,1
145,2
146,3
147,1
148,2
149,2
150,1
151,3
152,3
153,3
154,3
155,1
156,3
157,3
158,2
159,1
160,1
161,3
162,2
163,2
164,2
165,2
166,2
167,3
168,3
169,1
170,3
171,1
172,2
173,3
174,3
175,3
176,1
177,2
178,1
179,2
180,2
181,3
182,3
183,1
184,2
185,2
186,3
187,3
188,3
189,2
190,1
191,2
192,2
193,3
194,2
195,3
196,3
197,1
198,2
199,2
200,2
201,3
202,2
203,2
204,3
205,3
206,3
207,2
208,3
209,1
210,1
211,1
212,3
213,2
214,2
215,1
216,3
217,1
218,1
219,1
220,1
221,3
222,1
223,2
224,1
225,3
226,2
227,3
228,3
229,1
230,2
231,2
232,3
233,1
234,3
235,1
236,1
237,3
238,1
239,2
240,2
241,3
242,1
243,1
244,2
245,3
246,3
247,3
248,2
249,3
250,3
251,1
252,3
253,2
254,2
255,1
256,1
257,1
258,2
259,2
260,3
261,2
262,2
263,2
264,3
265,2
266,1
267,3
268,1
269,1
270,1
271,1
272,1
273,2
274,2
275,3
276,3
277,3
278,1
279,3
280,3
281,2
282,2
283,3
284,2
285,1
286,1
287,2
288,3
289,2
290,2
291,3
292,1
293,2
294,1
295,1
296,1
297,1
298,2
299,2
300,1
301,2
302,3
303,2
304,1
305,3
306,2
307,1
308,3
309,1
310,2
311,1
312,2
313,3
314,1
315,1
316,3
317,2
318,1
319,2
320,3
321,1
322,3
323,3
324,2
325,1
326,2
327,2
328,3
329,1
330,1
331,3
332,3
333,2
334,3
335,1
336,2
337,3
338,3
339,1
340,1
341,1
342,1
343,2
344,2
345,2
346,2
347,1
348,1
349,1
350,3
351,2
352,2
353,2
354,2
355,1
356,1
357,1
358,1
359,2
