iter,best,elapsed,group_1,group_2,group_3,group_4
1,0.06411680550320376,9.07473220799875,315.0,227.0,135.0,92.0
2,0.06404967791610285,,201.0,287.0,34.0,136.0
3,0.06404967791610285,,196.0,276.0,41.0,104.0
4,0.06404967791610285,,244.0,122.0,241.0,90.0
5,0.06404967791610285,,213.0,180.0,354.0,11.0
6,0.06404967791610285,,334.0,253.0,349.0,71.0
7,0.06404967791610285,,345.0,147.0,85.0,289.0
8,0.06404967791610285,,75.0,133.0,40.0,62.0
9,0.06385578857024467,,143.0,87.0,250.0,257.0
10,0.06381949209570867,,197.0,59.0,339.0,236.0
11,0.06381949209570867,,237.0,298.0,200.0,273.0
12,0.06323131272099428,,117.0,82.0,49.0,50.0
13,0.06323131272099428,,55.0,94.0,330.0,282.0
14,0.06323131272099428,,331.0,251.0,25.0,255.0
15,0.06323131272099428,,81.0,323.0,151.0,206.0
16,0.06309008659882119,,27.0,162.0,344.0,29.0
17,0.06309008659882119,,139.0,167.0,155.0,312.0
18,0.06309008659882119,,78.0,313.0,116.0,168.0
19,0.06307407466189283,,157.0,292.0,295.0,2.0
20,0.06307407466189283,,110.0,359.0,270.0,308.0
21,0.06307407466189283,,324.0,252.0,79.0,141.0
22,0.06307407466189283,,336.0,340.0,205.0,144.0
23,0.06307407466189283,,303.0,207.0,346.0,45.0
24,0.06307407466189283,,281.0,195.0,23.0,234.0
25,0.06307407466189283,,297.0,343.0,263.0,102.0
26,0.06307407466189283,,84.0,107.0,235.0,296.0
27,0.06307407466189283,,154.0,58.0,150.0,127.0
28,0.06307407466189283,,351.0,158.0,165.0,319.0
29,0.06307407466189283,,166.0,240.0,259.0,337.0
30,0.06307407466189283,,33.0,229.0,32.0,0.0
31,0.06307407466189283,,284.0,112.0,160.0,163.0
32,0.06307407466189283,,230.0,17.0,341.0,269.0
33,0.06307407466189283,,86.0,5.0,146.0,44.0
34,0.06307407466189283,,24.0,36.0,294.0,291.0
35,0.06307407466189283,,194.0,28.0,54.0,14.0
36,0.06307407466189283,,211.0,247.0,301.0,245.0
37,0.06307407466189283,,219.0,228.0,261.0,172.0
38,0.06293758392020586,,191.0,103.0,232.0,10.0
39,0.06293758392020586,,179.0,249.0,126.0,246.0
40,0.06293758392020586,,225.0,46.0,123.0,178.0
41,0.06293758392020586,,310.0,3.0,184.0,326.0
42,0.06285245744159201,,30.0,267.0,355.0,97.0
43,0.06282473799392693,,100.0,286.0,156.0,89.0
44,0.06282473799392693,,318.0,48.0,352.0,53.0
45,0.06282473799392693,,131.0,73.0,161.0,181.0
46,0.06278422941184751,,188.0,39.0,19.0,149.0
47,0.06278422941184751,,358.0,101.0,212.0,357.0
48,0.06278422941184751,,37.0,204.0,190.0,137.0
49,0.06278422941184751,,115.0,57.0,265.0,124.0
50,0.0627112134664478,,187.0,26.0,239.0,130.0
51,0.0627112134664478,,277.0,8.0,99.0,305.0
52,0.0627112134664478,,142.0,182.0,222.0,38.0
53,0.0627112134664478,,177.0,31.0,13.0,132.0
54,0.0627112134664478,,76.0,321.0,300.0,243.0
55,0.0627112134664478,,278.0,61.0,9.0,283.0
56,0.0626542999604425,,333.0,120.0,173.0,65.0
57,0.0626542999604425,,56.0,69.0,248.0,111.0
58,0.0626542999604425,,159.0,93.0,338.0,231.0
59,0.0626542999604425,,221.0,288.0,348.0,15.0
60,0.06261732964714768,,125.0,185.0,329.0,262.0
61,0.06261732964714768,,169.0,134.0,320.0,18.0
62,0.06261732964714768,,306.0,309.0,210.0,95.0
63,0.06261732964714768,,109.0,186.0,68.0,266.0
64,0.06261732964714768,,275.0,226.0,170.0,148.0
65,0.06261732964714768,,254.0,264.0,96.0,114.0
66,0.06261732964714768,,215.0,350.0,145.0,67.0
67,0.06261732964714768,,285.0,271.0,129.0,42.0
68,0.06261732964714768,,47.0,332.0,256.0,202.0
69,0.06261732964714768,,203.0,7.0,88.0,279.0
70,0.06261732964714768,,347.0,119.0,209.0,118.0
71,0.06261732964714767,,335.0,307.0,113.0,98.0
72,0.06261732964714767,,327.0,268.0,314.0,176.0
73,0.06254230546590957,,91.0,4.0,6.0,140.0
74,0.06254230546590957,,83.0,72.0,198.0,152.0
75,0.06254230546590957,,242.0,121.0,77.0,164.0
76,0.06254230546590957,,311.0,322.0,106.0,258.0
77,0.06254230546590957,,52.0,233.0,299.0,60.0
78,0.06254230546590957,,193.0,16.0,293.0,214.0
79,0.06254230546590957,,35.0,138.0,220.0,325.0
80,0.06254230546590957,,218.0,260.0,353.0,21.0
81,0.06254230546590957,,216.0,192.0,171.0,317.0
82,0.06254230546590957,,43.0,128.0,290.0,183.0
83,0.06254230546590957,,1.0,280.0,108.0,274.0
84,0.06254230546590957,,22.0,20.0,80.0,153.0
85,0.06254230546590957,,302.0,328.0,342.0,356.0
86,0.06254230546590957,,238.0,105.0,66.0,63.0
87,0.06254230546590957,,189.0,74.0,64.0,217.0
88,0.06254230546590957,,51.0,175.0,224.0,174.0
89,0.06254230546590957,,199.0,272.0,208.0,70.0
90,0.06253461212118828,,12.0,316.0,223.0,304.0
91,0.06253461212118828,,,,,
92,0.06253461212118828,,,,,
93,0.06253461212118827,,,,,
94,0.06253461212118827,,,,,
95,0.06251774656970281,,,,,
96,0.06251774656970281,,,,,
97,0.06251774656970281,,,,,
98,0.0625177465697028,,,,,
99,0.0625177465697028,,,,,
100,0.0625177465697028,,,,,
101,0.0625177465697028,,,,,
102,0.0625177465697028,,,,,
103,0.0625008421389017,,,,,
104,0.0625008421389017,,,,,
105,0.0625008421389017,,,,,
106,0.0625008421389017,,,,,
107,0.0625008421389017,,,,,
108,0.0625008421389017,,,,,
109,0.0625008421389017,,,,,
110,0.06249387265264395,,,,,
111,0.06249387265264395,,,,,
112,0.06249387265264395,,,,,
113,0.06249387265264395,,,,,
114,0.06249387265264395,,,,,
115,0.06249387265264395,,,,,
116,0.06249387265264395,,,,,
117,0.06248207456166809,,,,,
118,0.06248207456166809,,,,,
119,0.06248207456166809,,,,,
120,0.06248207456166809,,,,,
121,0.06248207456166809,,,,,
122,0.06248207456166809,,,,,
123,0.06248207456166809,,,,,
124,0.06243697858645507,,,,,
125,0.06243697858645507,,,,,
126,0.06243697858645507,,,,,
127,0.06243697858645507,,,,,
128,0.06243697858645507,,,,,
129,0.06242921573762796,,,,,
130,0.06242921573762796,,,,,
131,0.06242921573762796,,,,,
132,0.06242921573762796,,,,,
133,0.06242921573762796,,,,,
134,0.06242921573762796,,,,,
135,0.06242921573762796,,,,,
136,0.06242921573762796,,,,,
137,0.06242921573762796,,,,,
138,0.06240997801442346,,,,,
139,0.06240997801442346,,,,,
140,0.06240997801442346,,,,,
141,0.06240997801442346,,,,,
142,0.06240997801442346,,,,,
143,0.06240997801442346,,,,,
144,0.06240997801442345,,,,,
145,0.06240997801442345,,,,,
146,0.06240997801442345,,,,,
147,0.06239316597850264,,,,,
148,0.06239316597850264,,,,,
149,0.06239316597850264,,,,,
150,0.06239316597850264,,,,,
151,0.06239316597850264,,,,,
152,0.06239316597850264,,,,,
153,0.06239316597850264,,,,,
154,0.06239316597850264,,,,,
155,0.06239316597850264,,,,,
156,0.06239316597850264,,,,,
157,0.062393165978502634,,,,,
158,0.062393165978502634,,,,,
159,0.062393165978502634,,,,,
160,0.062393165978502634,,,,,
161,0.062393165978502634,,,,,
162,0.062393165978502634,,,,,
163,0.062393165978502634,,,,,
164,0.062393165978502634,,,,,
165,0.062393165978502634,,,,,
166,0.062393165978502634,,,,,
167,0.062393165978502634,,,,,
168,0.062393165978502634,,,,,
169,0.062393165978502634,,,,,
170,0.062393165978502634,,,,,
171,0.062393165978502634,,,,,
172,0.062393165978502634,,,,,
173,0.062393165978502634,,,,,
174,0.062393165978502634,,,,,
175,0.062393165978502634,,,,,
176,0.062393165978502634,,,,,
177,0.062393165978502634,,,,,
178,0.062393165978502634,,,,,
179,0.06239288913182553,,,,,
180,0.062389578861372086,,,,,
181,0.062389578861372086,,,,,
182,0.062389578861372086,,,,,
183,0.06237698999069222,,,,,
184,0.06234402760167086,,,,,
185,0.06234402760167086,,,,,
186,0.06234402760167086,,,,,
187,0.062343420951707765,,,,,
188,0.062343420951707765,,,,,
189,0.062343420951707765,,,,,
190,0.062343420951707765,,,,,
191,0.062343420951707765,,,,,
192,0.062343420951707765,,,,,
193,0.062343420951707765,,,,,
194,0.06234342095170775,,,,,
195,0.06234342095170775,,,,,
196,0.06234141215446613,,,,,
197,0.06234141215446613,,,,,
198,0.06234141215446613,,,,,
199,0.06234141215446613,,,,,
200,0.06234141215446613,,,,,
