subject_id,group_index
0,4
1,3
2,3
3,3
4,2
5,2
6,2
7,2
8,4
9,3
10,2
11,2
12,1
13,4
14,4
15,1
16,2
17,4
18,1
19,4
20,3
21,3
22,2
23,3
24,3
25,4
26,2
27,4
28,4
29,3
30,3
31,1
32,2
33,4
34,2
35,2
36,4
37,3
38,3
39,3
40,2
41,1
42,3
43,1
44,2
45,4
46,2
47,1
48,4
49,2
50,4
51,2
52,4
53,3
54,4
55,2
56,3
57,3
58,1
59,4
60,3
61,1
62,1
63,1
64,4
65,2
66,1
67,2
68,2
69,3
70,1
71,4
72,3
73,1
74,2
75,4
76,4
77,1
78,3
79,3
80,3
81,1
82,2
83,3
84,4
85,4
86,3
87,2
88,1
89,4
90,3
91,3
92,4
93,3
94,3
95,1
96,1
97,2
98,4
99,1
100,1
101,4
102,4
103,2
104,2
105,1
106,1
107,4
108,2
109,3
110,4
111,1
112,1
113,2
114,3
115,3
116,1
117,1
118,1
119,1
120,2
121,1
122,1
123,1
124,3
125,3
126,2
127,4
128,1
129,1
130,1
131,2
132,4
133,2
134,3
135,1
136,4
137,4
138,1
139,1
140,3
141,1
142,1
143,2
144,3
145,3
146,3
147,2
148,4
149,1
150,2
151,3
152,4
153,2
154,1
155,3
156,4
157,2
158,1
159,4
160,2
161,2
162,4
163,2
164,1
165,3
166,2
167,1
168,1
169,4
170,1
171,4
172,3
173,3
174,3
175,1
176,1
177,4
178,4
179,3
180,3
181,2
182,4
183,2
184,2
185,2
186,4
187,4
188,2
189,1
190,4
191,2
192,4
193,4
194,1
195,2
196,4
197,1
198,3
199,4
200,3
201,3
202,3
203,2
204,3
205,3
206,3
207,3
208,3
209,3
210,1
211,3
212,3
213,2
214,4
215,2
216,3
217,3
218,2
219,2
220,4
221,4
222,1
223,2
224,2
225,2
226,2
227,2
228,4
229,4
230,4
231,4
232,1
233,3
234,3
235,1
236,1
237,4
238,1
239,2
240,1
241,4
242,3
243,4
244,1
245,4
246,2
247,3
248,2
249,4
250,4
251,2
252,1
253,2
254,3
255,3
256,2
257,2
258,4
259,2
260,1
261,2
262,1
263,2
264,3
265,4
266,1
267,1
268,3
269,1
270,1
271,4
272,2
273,1
274,1
275,1
276,4
277,4
278,1
279,4
280,2
281,1
282,4
283,3
284,2
285,3
286,4
287,1
288,1
289,2
290,1
291,1
292,3
293,1
294,2
295,2
296,3
297,2
298,3
299,4
300,3
301,1
302,4
303,2
304,1
305,2
306,4
307,3
308,3
309,2
310,2
311,1
312,4
313,4
314,1
315,1
316,1
317,1
318,3
319,2
320,3
321,1
322,3
323,1
324,2
325,3
326,3
327,1
328,2
329,4
330,4
331,3
332,3
333,2
334,3
335,2
336,4
337,3
338,4
339,4
340,2
341,4
342,3
343,4
344,3
345,4
346,3
347,4
348,4
349,3
350,2
351,2
352,4
353,1
354,1
355,2
356,2
357,4
358,1
359,4
