subject_id,group_index
0,1
1,4
2,1
3,1
4,3
5,2
6,3
7,4
8,3
9,3
10,4
11,4
12,4
13,3
14,3
15,4
16,2
17,2
18,4
19,3
20,2
21,1
22,3
23,1
24,1
25,4
26,4
27,2
28,4
29,3
30,2
31,2
32,4
33,3
34,3
35,4
36,4
37,2
38,4
39,1
40,2
41,1
42,3
43,2
44,4
45,3
46,4
47,1
48,1
49,4
50,3
51,2
52,1
53,4
54,4
55,3
56,3
57,2
58,3
59,3
60,1
61,2
62,2
63,3
64,2
65,4
66,1
67,3
68,1
69,1
70,2
71,4
72,1
73,3
74,1
75,4
76,1
77,2
78,2
79,2
80,1
81,4
82,2
83,4
84,1
85,2
86,4
87,3
88,1
89,1
90,2
91,3
92,4
93,3
94,1
95,4
96,2
97,2
98,1
99,2
100,1
101,3
102,4
103,1
104,2
105,3
106,4
107,3
108,1
109,2
110,3
111,2
112,1
113,4
114,1
115,3
116,2
117,1
118,2
119,3
