subject_id,group_index
0,3
1,1
2,3
3,4
4,2
5,3
6,4
7,4
8,3
9,2
10,2
11,4
12,3
13,1
14,2
15,1
16,1
17,2
18,2
19,4
20,1
21,3
22,1
23,1
24,3
25,4
26,4
27,3
28,3
29,3
30,4
31,4
32,2
33,1
34,3
35,3
36,1
37,3
38,3
39,2
40,4
41,2
42,1
43,1
44,2
45,2
46,3
47,2
48,4
49,2
50,2
51,3
52,4
53,1
54,4
55,4
56,2
57,4
58,1
59,3
60,1
61,1
62,3
63,3
64,1
65,4
66,3
67,4
68,1
69,4
70,3
71,1
72,3
73,4
74,2
75,3
76,2
77,3
78,1
79,4
80,2
81,4
82,3
83,2
84,4
85,2
86,2
87,1
88,4
89,4
90,4
91,1
92,1
93,4
94,4
95,4
96,3
97,3
98,2
99,1
100,1
101,4
102,3
103,1
104,2
105,2
106,3
107,1
108,2
109,1
110,2
111,1
112,1
113,4
114,2
115,3
116,2
117,1
118,2
119,2
