subject_id,group_index
0,1
1,3
2,3
3,2
4,4
5,2
6,2
7,4
8,2
9,2
10,3
11,3
12,4
13,4
14,4
15,1
16,3
17,2
18,3
19,4
20,4
21,3
22,4
23,1
24,2
25,1
26,1
27,2
28,1
29,2
30,1
31,1
32,2
33,3
34,3
35,1
36,2
37,3
38,3
39,2
40,2
41,1
42,4
43,1
44,4
45,1
46,2
47,1
48,4
49,3
50,1
51,3
52,4
53,1
54,3
55,4
56,1
57,4
58,4
59,4
60,1
61,3
62,3
63,3
64,3
65,1
66,3
67,1
68,1
69,1
70,4
71,3
72,4
73,2
74,4
75,3
76,2
77,2
78,1
79,3
80,3
81,4
82,2
83,2
84,4
85,4
86,4
87,2
88,2
89,4
90,2
91,1
92,4
93,2
94,2
95,2
96,3
97,1
98,4
99,1
100,4
101,2
102,4
103,1
104,2
105,2
106,2
107,2
108,4
109,1
110,4
111,4
112,2
113,4
114,2
115,4
116,4
117,1
118,3
119,2
120,2
121,1
122,2
123,4
124,4
125,2
126,3
127,3
128,4
129,2
130,2
131,3
132,4
133,3
134,1
135,4
136,3
137,1
138,3
139,4
140,2
141,2
142,2
143,3
144,2
145,1
146,3
147,4
148,1
149,4
150,3
151,2
152,2
153,2
154,2
155,3
156,3
157,3
158,4
159,1
160,2
161,2
162,4
163,3
164,4
165,1
166,4
167,1
168,3
169,4
170,4
171,4
172,3
173,4
174,4
175,3
176,3
177,1
178,4
179,1
180,4
181,3
182,3
183,1
184,4
185,4
186,2
187,1
188,1
189,3
190,4
191,1
192,1
193,2
194,3
195,3
196,1
197,3
198,2
199,3
200,3
201,1
202,4
203,4
204,3
205,1
206,4
207,3
208,1
209,4
210,1
211,1
212,1
213,1
214,1
215,2
216,3
217,1
218,3
219,1
220,3
221,2
222,2
223,1
224,3
225,3
226,2
227,3
228,2
229,3
230,2
231,3
232,2
233,2
234,1
235,1
236,1
237,2
238,1
239,1
